pokemon_id,pokemon_name,gen_number,base_hp,base_attack,base_defense,base_sp_attack,base_sp_def,base_speed,description,evolution
145,Zapdos,1,90,90,85,125,90,100,"Zapdos is a large, avian Pokémon with predominantly yellow plumage. It has small, triangular eyes with black around them and a long, thin, light orange beak. Its wings and tail are a mass of spiky feathers and there are black feathers covering the back of its wings and inner tail feathers. A large crest of spiked feathers surrounds its head. Its thighs are tan, and it has thin, light orange legs. It has feet with three forward-facing toes and one backward-facing toe; each toe has a short talon. Rarely seen , in An Illustrated Book of POCKET MONSTERS , Zapdos is said to be a divine bird that presides over the heavens, spending millennia among thunderclouds, before descending with lightning bolts. When Zapdos flaps its glittering wings, it releases electricity that can potentially cause thunderstorms. Naturally, it produces massive crackling and snapping sounds when it flies; these are attributed to the lightning bolts it sheds when airborne. Zapdos reportedly appears only during thunderstorms and gains power when struck by lightning. When attacking, Bandai Pokémon Carddass Cards shows that Zapdos can electrify its talons. In The Power of One , Zapdos is said to regulate the ocean's currents, and when captured, they become catastrophically unstable. It is also shown to communicate with other Electric-type Pokémon through exchanging lightning bolts. Furthermore, it is exceptionally territorial, immediately conquering and terraforming Fire Island after Moltres is captured in the interests of controlling the Orange Islands with thunder. It is said to be capable of defeating a lone Lugia when battling alongside Articuno and Moltres . As seen in Pokémon Horizons , like other Legendary Pokémon , Zapdos can be found in the Pokémon paradise Laqua . Zapdos loves Zapdos Treats made by Snacksworth , who once saw it fly right by him in the past.",
64,Kadabra,1,40,35,30,120,70,105,"Kadabra is a primarily yellow, slightly humanoid Pokémon with mammalian features. It has two long, pointed ears on top of its head, a red star on its forehead, narrow, deep-set eyes, and wide cheeks leading down to a thin snout. Extending from each side of its snout are two mustache-like tufts of fur; a male will have a longer mustache than a female. Kadabra's torso is segmented with bulky shoulders, a thick, brown chest, and a small abdomen marked by three red, wavy lines. Attached to the Pokémon's abdomen is a large, thick tail encircled with a brown band near its base. Its arms are thin with brown elbows and end in three-fingered hands with white claws. Its legs have prominent knees and large, three-toed feet, also ending in white claws. Two of its toes face forward and one backward. Kadabra is always seen carrying a silver spoon, which amplifies its telekinetic powers. A gold spoon does not work as an amplifier and Kadabra is only half as strong without a spoon. Kadabra emits alpha waves strong enough to induce headaches, and can even cause clocks to run backward, machines to malfunction, and delicate devices to cease functioning altogether. The waves increase further in strength the more danger Kadabra faces. By closing its eyes, it can double the number of alpha particles it emits. When it has a headache, the alpha waves become unusual. All of Kadabra's brain cells work in unison while it uses its powers. It sleeps while levitating, using its springy tail like a pillow. It can store up psychic energy inside its star in preparation for its Evolution. There is a theory that Kadabra was born from a transformed human child who could not control his powers. Kadabra lives in urban areas . Kadabra and its evolved form, Alakazam , are the only known Pokémon capable of learning the move Kinesis .",Kadabra evolves from Abra and evolves into Alakazam .
83,Farfetch'd,1,52,65,55,58,62,60,"Farfetch'd is an avian Pokémon that resembles a light brown duck with a white underbelly. It has a flat, yellow beak, brown eyes, a V-shaped black marking on its forehead (similar to a unibrow ), and a three-feather crest on top of its head. Its wings are as big as its body and appear to be prehensile enough to substitute for hands. It has yellow legs with webbed feet and a stubby tail. Farfetch'd is always seen carrying a leek stalk or spring onion. It carries this sprig in its wings, but sometimes chooses to hold it in its beak or feet instead. Unable to live without its stick, Farfetch'd will defend it with its life. Losing the stalk can leave Farfetch'd defenseless, and it will seek out a new one to replace it. Known uses for the stick include use as a weapon, nesting material, and emergency food source. When using the stalk to attack, Farfetch'd wields and uses it like a sword to cut through things. There are several different fighting styles involving Farfetch'd's leek. It is selective about which sticks it will use and has been known to fight over good ones. As mentioned in Sleep Style Dex , Farfetch'd will always hold onto its stalk, even when sleeping on its back in a defenseless position. Farfetch'd has four different sleep styles it sleeps in: Sprawled Sleep , Plant-Stalk-at-the-Ready Sleep , Plant-Stalk-Nibbling Sleep , and Atop-Belly Sleep . Farfetch'd is found in temperate grasslands where reedy plants grow, guarding the plants from anyone trying to disturb them. However, Farfetch'd is rarely seen, and thus it is thought that its numbers are decreasing, and that it is at risk of extinction. According to sources such as Pokémon the Series and the Pocket Monsters Encyclopedia , its population decline is caused by humans who hunted it down for food ; one popular recipe suggested cooking it with its own leek. There have been attempts at breeding in order to increase the Farfetch'd population. In the Pikachu short Pikachu's Vacation , Farfetch'd are shown to be able to swim like real-life ducks.",Galarian Farfetch'd evolves into Sirfetch'd . Kantonian Farfetch'd is not known to evolve.
138,Omanyte,1,35,40,100,90,55,35,"Omanyte is a small extinct cephalopod mollusk Pokémon similar to an ammonite or nautilus . It has a sky blue body with ten tentacles and a pale yellow, helix-spiraled shell on its back. The shell's rim has two circular indents where Omanyte's large saucer-like eyes protrude. If attacked or threatened, it quickly withdraws into its hard shell. Omanyte is considered extinct, although it can be revived from fossils . Its fossils have been excavated in areas that were once oceans long ago. Omanyte regulated its buoyancy by storing and releasing air within its shell and controlled direction by twisting its tentacles. While Omanyte fed on plankton , it was preyed on by Archeops and Carracosta . Omanyte can now be found in the wild due to being released by people or escaping after being restored to life, causing this species to become a problem.",Omanyte evolves into Omastar .
90,Shellder,1,30,65,100,45,25,40,"Shellder is a bivalve mollusk Pokémon encased within a spiky, blue-violet bivalve shell. It has two round white eyes with tiny black pupils. Its long, red tongue, usually hidden due to the darkness of Shellder’s body, extends from its often closed mouth. Shellder uses this tongue to burrow into the sand to sleep overnight and to lure and capture prey. If it were to close its shell, nothing could come to it; however, the tongue protrudes even when its shell is shut. Tugging on it will cause the shell to pop open. Its soft and tender body is well-protected by its extremely durable shell, which is purported to be harder than diamonds and has historically been used by people to make shields. It can make pearls from accumulated sand, though it discards them as they are typically in its way. Shellder has an unusually strong appetite for the tail of a Slowpoke and can develop a symbiotic relationship with the Dopey Pokémon. After attaching itself to the Slowpoke's tail, the two undergo a metamorphosis and evolve into Slowbro together. Alternatively, if it attaches to the head of a Slowpoke in possession of a King's Rock , the two will instead evolve into Slowking . These relationships allow it to travel onto land and begin a new stage in its life cycle. In Galar , Shellder attaches to the forearms and heads of Galarian Slowpoke wearing Galarica Cuffs or Galarica Wreaths , causing the Evolution into Galarian Slowbro and Galarian Slowking, respectively. Shellder that are part of Slowbro change in shape further if it Mega Evolves. Regardless of which form the two Pokémon evolve into, Shellder's shell changes to a light gray color with irregular darker spots. Its shape changes into a spiny, spiraled cone with several tiers, which is slightly rounded for Galarian Slowbro. Sharp teeth develop around the rim of the shell to anchor it securely to the evolved Slowpoke, and its eyes now peek out from the bottom rim of the shell. In its crown form, Shellder has a large horn on either side of its shell, which is purple for Galarian Slowking. It also gains a gem: a red one on the underside for Johtonian Slowking, and a green one between its eyes for the Galarian form. As part of Mega Slowbro, it becomes large enough to contain most of the Slowpoke's body, gaining two holes near the rim and an opening at the tip, through which protrude the Slowpoke's forelegs and tail respectively.",Shellder evolves into Cloyster .
69,Bellsprout,1,50,75,35,70,30,40,"Bellsprout is a plant -based Pokémon with a stem-like brown body. There is a single green leaf on each side of its body. It has a yellow bell-shaped head with what appear to be pink lips at the end and beady black eyes. It is capable of spitting corrosive acid from its mouth. Its stem is long, thin and very flexible, making it capable of swerving rapidly to avoid many attacks or moving with blinding speed to capture prey. Its roots resemble feet, and it uses them as such. It will plant its roots in the ground to replenish water, but it is unable to flee while it is rooted. Bellsprout prefers hot and humid places, thus it lives in temperate forests and jungles . As mentioned in Pokémon Sleep , Bellsprout is known to sleep while planting its roots deep in the ground.Because Bellsprout feels so safe while sleeping, it tends to forget that it may need to run from danger.","Bellsprout evolves into Weepinbell , which evolves into Victreebel ."
133,Eevee,1,55,55,50,45,65,55,"Eevee is a small, mammalian , quadrupedal Pokémon with primarily brown fur. The tip of its bushy tail and its large furry collar are cream-colored. It has short, slender legs with three small toes and a pink paw pad on each foot. Eevee has brown eyes, long pointed ears with dark brown interiors, and a small black nose. Eevee has an unstable and irregularly shaped genetic structure that causes it to mutate when exposed to the radiation of Evolution stones . Its DNA is easily influenced by its environment, which allows it to suddenly and perfectly adapt to harsh habitats by evolving into one of eight different Pokémon . The reason why only Eevee has such unusual genes, which are the key to solving the mysteries of Evolution, remains unknown. Even its face can end up becoming similar to that of its Trainer . Eevee is an extremely rare Pokémon mostly found in cities and towns . In Pokémon Sleep , it is suggested that it dreams about which form it will evolve into in the future. Eevee is the only known Pokémon capable of using the Z-Move Extreme Evoboost .",Eevee can evolve into eight different Pokémon (collectively called Eeveelutions ).
135,Jolteon,1,65,65,60,110,95,130,"Jolteon is a quadrupedal, mammalian Pokémon . It is covered in yellow fur with a spiky fringe around its tail and a white ruff around its neck. Its ears are large and pointed with black interiors, and its eyes and small nose are black. It has slender legs and small paws, each with three toes and a pink paw-pad. Jolteon's lungs contain an organ that produces electrical energy, causing a crackling sound to be heard when it exhales. This sound can also be heard during its slumber, as mentioned in Pokémon Sleep .When angered or startled, Jolteon bristles its fur in battle , causing each strand to stiffen into sharp, needle-like quills that can pierce enemies. It then finishes them off by blasting wicked 10,000-volt thunderbolts, which are generated either by gathering negative ions from the atmosphere or by concentrating the weak electrical charge emitted by its cells. This charge is amplified by the static electricity within its fur, which consists of electrically charged needles. When Jolteon becomes energized, these needles stand on end and harden, signaling that it is about to unleash its power. The charge is so potent that shed quills can retain electricity for a long time. Jolteon's fur also produces a constant sparking noise due to the negative ions it generates. Additionally, when agitated, it can straighten and fire small numbers of these electrically charged quills like a missile barrage . Lightning is known to sometimes strike next to it. It is a sensitive Pokémon who easily feels sad or angry, so it charges power whenever its mood changes. Because of its high-strung nature, Jolteon can be difficult for Pokémon Trainers to grow close to it. It is most often found in cities and towns under the ownership of Trainers.",Jolteon evolves from Eevee .
97,Hypno,1,85,73,70,73,115,67,"Hypno is a bipedal, slightly humanoid Pokémon that has yellow skin. It has triangular ears with brown interiors, sleepy-looking eyes, and a large nose. On its neck, it has a ruff of white fur, which is longer on the female. Hypno has five fingers on each hand and holds a pendulum in its left. The pendulum resembles a flat, silver ring and is used for hypnotism. Hypno is never seen without it. It has three toes on each foot, which also have a pink pad on the undersides. Hypno is able to put people to sleep by swinging its pendulum. It is known to reside away from humans and on less-traveled roads . While it awaits its prey, it polishes its pendulum. If anyone comes by, Hypno will hypnotize them and eat their dreams. It carries away people having good dreams and is even known to have stolen a child at one point. However, in the Alola region , it preys primarily on Komala , and cases of Hypno targeting humans are notably rare. Some Hypno are even known to assist doctors in hospitals when their patients cannot sleep at night. In the Trainers' School in Pokémon Ultra Sun and Ultra Moon , a Hypno is shown to be capable of creating illusions, namely by disguising itself as a human and causing illusory children to appear. As shown in Battling Besties! , Hypno is left feeling completely despondent if its pendulum gets damaged in any way.",Hypno evolves from Drowzee .
86,Seel,1,65,45,55,45,70,45,"Seel is a pinniped Pokémon with a thick hide covered in bluish-white fur. It has a pale tan canine maw with a large red tongue and a pair of tusks on its lower jaw. It has circular eyes, prominent black eyebrows (it’s one of the few Pokémon that has eyebrows) and a black nose that is capable of closing when it swims. There is a small horn on its forehead, which it uses in combination with its tusks to bore through ice floes. It has two flippers on its chest, and two more on the end of its tail. When the tail is raised, it resembles a waterspout. Seel lives on icebergs in frigid ocean waters. Its warm fur and thick hide allow it to swim in waters as cold as −40° Fahrenheit (−40° Celsius). It thrives in these cold environments, becoming more active as the temperature drops and tires easily in warm waters. Preferring to sleep during the day, it hunts for prey under sheets of ice in the late day and evening hours. While it is a graceful swimmer, it is awkward and struggles to move on dry land.",Seel evolves into Dewgong .
